RA,dec,mjd,exptime,band,filter,nexp,airmass,night,visittime,scheduler_note,
0.8841501340080509, -0.3738155012723885, 60912.21812222213, 30.0, 'i', 'i', 2, 2.128377342206787, 0, 34.4, 'ToO GW_case_F 18_t0_i0 101',
0.9075188464072603, -0.4176098431399411, 60912.218573821156, 30.0, 'i', 'i', 2, 2.12854737107811, 0, 34.4, 'ToO GW_case_F 18_t0_i0 102',
0.9273043243155286, -0.4688145153212, 60912.21902625891, 30.0, 'i', 'i', 2, 2.107965198147242, 0, 34.4, 'ToO GW_case_F 18_t0_i0 103',
0.9374493581261172, -0.5178853700880353, 60912.219477945895, 30.0, 'i', 'i', 2, 2.063828705041484, 0, 34.4, 'ToO GW_case_F 18_t0_i0 104',
0.9387477164570752, -0.5721075003284453, 60912.219930085506, 30.0, 'i', 'i', 2, 1.9946247227590865, 0, 34.4, 'ToO GW_case_F 18_t0_i0 105',
0.9884000014567125, -0.6444677875912015, 60912.22171712254, 30.0, 'g', 'g', 2, 2.044566315306292, 0, 34.4, 'ToO GW_case_F 18_t0_i0 15',
0.9894420364321679, -0.5386073524174892, 60912.22217543464, 30.0, 'g', 'g', 2, 2.146334660559718, 0, 34.4, 'ToO GW_case_F 18_t0_i0 16',
0.9914145367792466, -0.5933026169345358, 60912.22262757177, 30.0, 'g', 'g', 2, 2.0716771898253143, 0, 34.4, 'ToO GW_case_F 18_t0_i0 17',
0.9884000014567125, -0.6444677875912015, 60912.224414608805, 30.0, 'i', 'i', 2, 1.998502272866813, 0, 34.4, 'ToO GW_case_F 18_t0_i0 106',
0.9894420364321679, -0.5386073524174892, 60912.22487303051, 30.0, 'i', 'i', 2, 2.092139393687994, 0, 34.4, 'ToO GW_case_F 18_t0_i0 107',
0.9914145367792466, -0.5933026169345358, 60912.225325243126, 30.0, 'i', 'i', 2, 2.0228390568593477, 0, 34.4, 'ToO GW_case_F 18_t0_i0 108',
1.0450580673882612, -0.612333323125944, 60912.23289610051, 30.0, 'g', 'g', 2, 2.034054797825651, 0, 34.4, 'ToO GW_case_F 18_t0_i0 18',
1.0454050860868804, -0.6648425023379677, 60912.23334810415, 30.0, 'g', 'g', 2, 1.9590542781943823, 0, 34.4, 'ToO GW_case_F 18_t0_i0 19',
1.0450580673882612, -0.612333323125944, 60912.235135141185, 30.0, 'i', 'i', 2, 2.0027428291303697, 0, 34.4, 'ToO GW_case_F 18_t0_i0 109',
